last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Aybar, Erick,430947,SD,135,SS,33,R,0.00,0.55,0.86,1.13,1.38,1.61,1.83,2.04,2.24,2.43,2.62,2.80,2.98,3.16,3.34,3.52,3.70,3.87,4.06
Bader, Harrison,664056,STL,138,CF,23,R,0.00,0.56,0.85,1.09,1.33,1.54,1.74,1.94,2.12,2.30,2.48,2.65,2.82,2.99,3.15,3.32,3.48,3.64,3.81
Bandy, Jett,542908,MIL,158,C,27,R,0.00,0.55,0.89,1.19,1.46,1.71,1.95,2.18,2.40,2.62,2.83,3.04,3.25,3.46,3.66,3.87,4.08,4.30,4.53
Barnes, Austin,605131,LAD,119,C,27,R,0.00,0.53,0.82,1.09,1.33,1.56,1.78,1.99,2.18,2.37,2.56,2.75,2.93,3.11,3.29,3.47,3.65,3.83,4.02
Barney, Darwin,446381,TOR,141,2B,31,R,0.00,0.55,0.85,1.11,1.35,1.58,1.80,2.00,2.20,2.39,2.58,2.76,2.95,3.13,3.31,3.48,3.66,3.84,4.03
Barnhart, Tucker,571466,CIN,113,C,26,L,0.00,0.54,0.84,1.12,1.38,1.62,1.84,2.06,2.27,2.47,2.67,2.86,3.06,3.25,3.44,3.63,3.83,4.03,4.24
Barnhart, Tucker,571466,CIN,113,C,26,R,0.00,0.56,0.89,1.18,1.45,1.69,1.92,2.13,2.34,2.55,2.75,2.94,3.14,3.33,3.53,3.72,3.91,4.10,4.31
Bautista, José,430832,TOR,141,RF,36,R,0.00,0.54,0.86,1.14,1.40,1.64,1.86,2.08,2.29,2.49,2.69,2.89,3.08,3.28,3.47,3.66,3.85,4.04,4.24
Beckham, Tim,542921,BAL,110,SS,27,R,0.00,0.55,0.86,1.12,1.37,1.60,1.81,2.01,2.21,2.40,2.58,2.77,2.94,3.12,3.30,3.47,3.64,3.82,4.00
Bell, Josh,605137,PIT,134,1B,24,L,0.00,0.54,0.84,1.10,1.35,1.58,1.80,2.01,2.21,2.40,2.59,2.77,2.96,3.14,3.32,3.50,3.67,3.86,4.05
Bell, Josh,605137,PIT,134,1B,24,R,0.00,0.55,0.85,1.12,1.37,1.60,1.82,2.02,2.22,2.42,2.61,2.79,2.97,3.15,3.33,3.51,3.69,3.86,4.05
Bellinger, Cody,641355,LAD,119,1B,21,L,0.00,0.54,0.82,1.07,1.30,1.51,1.72,1.91,2.10,2.28,2.46,2.63,2.81,2.98,3.15,3.32,3.49,3.66,3.84
Belt, Brandon,474832,SF,137,1B,29,L,0.00,0.54,0.83,1.09,1.34,1.57,1.79,2.00,2.20,2.39,2.58,2.77,2.95,3.13,3.31,3.49,3.67,3.85,4.05
Beltrán, Carlos,136860,HOU,117,DH,40,L,0.00,0.52,0.82,1.09,1.35,1.58,1.81,2.02,2.22,2.42,2.62,2.81,3.00,3.19,3.38,3.56,3.75,3.95,4.15
Beltrán, Carlos,136860,HOU,117,DH,40,R,0.00,0.55,0.86,1.14,1.40,1.64,1.86,2.07,2.28,2.48,2.67,2.87,3.06,3.25,3.44,3.62,3.81,4.00,4.21
Beltré, Adrián,134181,TEX,140,3B,38,R,0.00,0.57,0.89,1.18,1.44,1.69,1.92,2.14,2.36,2.56,2.77,2.97,3.17,3.37,3.57,3.76,3.96,4.16,4.38
Benintendi, Andrew,643217,BOS,111,LF,22,L,0.00,0.53,0.81,1.06,1.29,1.51,1.72,1.91,2.10,2.29,2.47,2.64,2.82,2.99,3.17,3.34,3.51,3.69,3.87
Betts, Mookie,605141,BOS,111,RF,24,R,0.00,0.53,0.82,1.07,1.31,1.54,1.75,1.95,2.14,2.32,2.50,2.68,2.86,3.03,3.20,3.37,3.54,3.72,3.90
Bird, Greg,595885,NYY,147,1B,24,L,0.00,0.55,0.86,1.14,1.40,1.63,1.86,2.07,2.27,2.48,2.67,2.87,3.06,3.25,3.44,3.64,3.83,4.03,4.25
Blackmon, Charlie,453568,COL,115,CF,30,L,0.00,0.53,0.81,1.06,1.30,1.52,1.72,1.92,2.11,2.29,2.47,2.65,2.82,3.00,3.17,3.33,3.50,3.68,3.86
Blanco, Andrés,433217,PHI,143,2B,33,R,0.00,0.53,0.83,1.10,1.35,1.59,1.81,2.02,2.22,2.42,2.62,2.81,3.00,3.18,3.37,3.55,3.74,3.93,4.12
Blanco, Andrés,433217,PHI,143,2B,33,L,0.00,0.51,0.80,1.06,1.31,1.54,1.76,1.97,2.17,2.37,2.57,2.76,2.95,3.14,3.34,3.53,3.73,3.94,4.16
Blanco, Grégor,453923,AZ,109,CF,33,L,0.00,0.53,0.81,1.06,1.29,1.50,1.71,1.90,2.09,2.27,2.45,2.62,2.79,2.96,3.13,3.30,3.47,3.64,3.82
Blash, Jabari,518466,SD,135,RF,27,R,0.00,0.55,0.86,1.13,1.38,1.61,1.82,2.03,2.22,2.42,2.60,2.79,2.97,3.15,3.32,3.50,3.67,3.85,4.03
Bogaerts, Xander,593428,BOS,111,SS,24,R,0.00,0.55,0.84,1.11,1.35,1.57,1.78,1.99,2.18,2.36,2.55,2.73,2.90,3.08,3.25,3.42,3.60,3.77,3.96
Bonifacio, Jorge,593528,KC,118,RF,24,R,0.00,0.55,0.85,1.12,1.36,1.59,1.80,2.00,2.19,2.38,2.56,2.74,2.92,3.09,3.26,3.43,3.60,3.77,3.95
Bour, Justin,571506,MIA,146,1B,29,L,0.00,0.56,0.88,1.16,1.42,1.67,1.90,2.11,2.33,2.53,2.74,2.94,3.13,3.33,3.53,3.73,3.93,4.15,4.37
Bourjos, Peter,488721,TB,139,LF,30,R,0.00,0.53,0.81,1.05,1.28,1.49,1.69,1.89,2.07,2.25,2.42,2.59,2.76,2.92,3.08,3.25,3.41,3.57,3.74
Bradley Jr., Jackie,598265,BOS,111,CF,27,L,0.00,0.53,0.81,1.06,1.30,1.53,1.74,1.95,2.14,2.33,2.52,2.70,2.88,3.06,3.24,3.41,3.59,3.77,3.96
Brantley, Michael,488726,CLE,114,LF,30,L,0.00,0.51,0.79,1.05,1.29,1.52,1.73,1.94,2.14,2.33,2.52,2.71,2.89,3.08,3.27,3.45,3.65,3.85,4.06
Braun, Ryan,460075,MIL,158,LF,33,R,0.00,0.54,0.83,1.09,1.34,1.56,1.78,1.98,2.18,2.37,2.56,2.74,2.93,3.11,3.29,3.47,3.65,3.83,4.02
Bregman, Alex,608324,HOU,117,3B,23,R,0.00,0.54,0.83,1.09,1.33,1.55,1.77,1.97,2.16,2.35,2.54,2.72,2.90,3.07,3.25,3.42,3.60,3.78,3.96
Brinson, Lewis,621446,MIL,158,CF,23,R,0.00,0.55,0.85,1.11,1.34,1.56,1.77,1.96,2.15,2.33,2.51,2.69,2.86,3.03,3.20,3.37,3.53,3.70,3.87
Broxton, Keon,542979,MIL,158,CF,27,R,0.00,0.55,0.83,1.08,1.31,1.53,1.73,1.93,2.11,2.29,2.47,2.64,2.81,2.98,3.14,3.31,3.47,3.63,3.80
Bruce, Jay,457803,CLE,114,RF,30,L,0.00,0.53,0.82,1.09,1.34,1.57,1.78,1.99,2.19,2.38,2.57,2.76,2.95,3.13,3.31,3.49,3.68,3.86,4.05
Brugman, Jaycob,595144,OAK,133,CF,25,L,0.00,0.54,0.82,1.08,1.32,1.55,1.77,1.98,2.17,2.36,2.55,2.74,2.92,3.10,3.28,3.45,3.63,3.82,4.01
Bryant, Kris,592178,CHC,112,3B,25,R,0.00,0.55,0.85,1.11,1.35,1.57,1.78,1.98,2.17,2.35,2.54,2.71,2.89,3.06,3.23,3.40,3.57,3.74,3.92
Butera, Drew,460077,KC,118,C,33,R,0.00,0.55,0.86,1.14,1.40,1.65,1.88,2.09,2.30,2.51,2.71,2.91,3.11,3.31,3.50,3.70,3.89,4.10,4.32
