last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Lynn, Lance,458681,94,92,89.4,,85,83.9,,
Bieber, Shane,669456,94.1,,89.2,84.5,88.7,83.6,,
Márquez, Germán,608566,95.9,94.7,,87.9,86.8,85.5,,
Giolito, Lucas,608337,94,,,84.9,80.9,77.3,,
Scherzer, Max,453286,94.7,,91.1,85.5,84.9,77.1,,
Woodruff, Brandon,605540,96.6,96.3,,88.2,86.7,83.5,,
Cole, Gerrit,543037,96.7,96,,88.7,88.3,83.4,,
Civale, Aaron,650644,91.3,91.8,87.4,82.2,85.3,75.7,,
Bauer, Trevor,545333,93.5,94.1,85,80.7,85,79.7,,
Castillo, Luis,622491,97.4,97.5,,86.8,88.2,,,
Darvish, Yu,506433,95.9,95.3,86.9,82,,77.7,90.2,
Hendricks, Kyle,543294,87.4,87.3,,,79.7,72.1,,
Nola, Aaron,605400,92.8,91.8,,,84.9,78.6,,
Gibson, Kyle,502043,92.4,92.2,87.6,82.9,84.4,78.7,,
Cueto, Johnny,456501,91.4,90.9,,84.8,82.5,80.7,,
Senzatela, Antonio,622608,94.3,,,86.4,86.4,79.2,,
deGrom, Jacob,594798,98.6,,,92.5,91.4,84.1,,
Ryu, Hyun Jin,547943,89.8,89.1,85.5,,79.6,72.3,,
Freeland, Kyle,607536,92.1,91.4,,86.2,86,80.3,,
Gallen, Zac,668678,93.2,92.9,87,87.1,84.9,81.2,,
Carrasco, Carlos,471911,93.7,92.3,,86,87.7,83.4,,
Berríos, José,621244,94.5,94,,,84.7,83.4,,
Boyd, Matthew,571510,91.7,90.5,,79.3,79.1,74.1,,
Cease, Dylan,656302,97.5,,,85,82.9,79,,
Heaney, Andrew,571760,91.5,,,,83,79.2,,
Wheeler, Zack,554430,96.9,96.6,,89.8,90.3,80.1,,
Singer, Brady,663903,92.9,93.3,,83.1,87.8,,,
Corbin, Patrick,571578,90.2,90.1,,79.2,77.7,65,,
Ray, Robbie,592662,93.9,93.3,,86.6,89.5,83.6,,
Gonzales, Marco,594835,88.2,,84.8,,80.6,75.3,,
Davies, Zach,605200,,88.5,86.9,,79.4,74.5,,
Valdez, Framber,664285,93.2,93.1,,,88.8,80.5,,
Lamet, Dinelson,659275,97,97,,86.5,,,,
Pérez, Martín,527048,92.2,91.9,88.8,,83.7,77.7,,
Bundy, Dylan,605164,90,90.7,,79.9,82.2,73.5,,
Williams, Trevor,592866,91.5,89.7,,82.7,85.1,77.8,,
Burnes, Corbin,669203,96.1,96,93.1,86.7,88.9,81.1,,
Lester, Jon,452657,89.4,88.4,87.4,,83.3,73.4,,
Webb, Logan,657277,93,91.8,90.5,81.5,84.6,,,
Greinke, Zack,425844,88.1,89.7,,84.5,86.2,70.6,,
Lyles, Jordan,543475,92.3,91.8,,85.6,86.8,79.7,,
Maeda, Kenta,628317,91.6,90.8,87.2,82.9,,78.5,84.5,
Porcello, Rick,519144,91.6,90.1,,86.2,81.8,74.9,,
Minor, Mike,501985,90.6,88.2,,85.6,85.4,80.1,,
Gausman, Kevin,592332,95.1,,,81.9,84.3,,84.1,
Sánchez, Aníbal,434671,89.3,89.6,87.5,83.5,69.6,76.3,81.8,
Weaver, Luke,596133,94,,88.3,,84.7,79,,
Gray, Sonny,543243,93,92.9,,82.8,89.7,80.8,,
Canning, Griffin,656288,92.8,,88.6,86.6,87.9,82.1,,
Glasnow, Tyler,607192,96.9,,,,91.1,82.4,,
Paddack, Chris,663978,94.1,,87.9,,83.9,76.9,,
Turnbull, Spencer,605513,93.7,94.8,,85.3,87.2,79.4,,
Keuchel, Dallas,572971,88.3,87.2,84.8,75.8,78.6,,,
Anderson, Tyler,542881,90.3,89.5,85,,80.9,71.9,,
Bassitt, Chris,605135,93.3,92.6,87.9,75.1,83.6,70,,
Mills, Alec,621219,89.8,89.9,,77.5,80.7,66.6,,
Duffy, Danny,518633,92.2,92.1,,82.6,83.9,75.5,,
Luzardo, Jesús,666200,95.5,95.4,,,87.4,84,,
Bubic, Kris,663460,91.4,,,,79.6,78.5,,
Wainwright, Adam,425794,89.2,89.3,85,,81.8,73.5,,
Houser, Adrian,605288,93.8,93.2,,85.6,84.9,80.5,,
Fiers, Mike,571666,88,88.2,,84.3,82.1,72.7,,
Montas, Frankie,593423,95.9,95.6,,86.1,,,86.4,
Eflin, Zach,621107,94.3,93.7,,88.5,87.8,79,,
López, Pablo,641154,93.9,93.4,90.7,,87.2,78.7,,
Roark, Tanner,543699,90.7,90.5,,84.2,81,73.1,,
Fried, Max,608331,93.1,92.5,,84,83.1,74.3,,
Voth, Austin,608723,92,,86.5,,,78.3,86,
Javier, Cristian,664299,92.2,,,78.6,85.9,76.3,,
Kershaw, Clayton,477132,91.6,,,87.9,86.9,74.1,,
McCullers Jr., Lance,621121,93,93.8,91.6,,86.3,83.4,,
Walker, Taijuan,592836,93.2,93.1,,85.2,,74.6,89,
Sheffield, Justus,656954,92.5,91.9,,81.8,86.3,,,
Snell, Blake,605483,95,,,87.3,87.9,80.1,,
May, Dustin,669160,99.1,97.9,93.6,,90.7,86.8,,
Keller, Brad,641745,92.8,92.3,,84.6,88.7,,,
Mahle, Tyler,641816,93.9,,,86.9,,81,87.3,
Fedde, Erick,607200,93.3,93.4,88.7,,86.7,79.5,,
Urías, Julio,628711,94.2,94,,86.3,84.9,80.9,,
Yarbrough, Ryan,642232,,87.3,82.9,,78.6,70.9,,
Stripling, Ross,548389,91.7,91.6,,85.8,84.6,78.7,,
Peterson, David,656849,92.1,91.8,,81.3,83.7,74.5,,
Manaea, Sean,640455,,90.4,84.4,77.4,82.5,,,
Cobb, Alex,502171,92.9,92.5,,,,81.7,86.9,
Brubaker, JT,664141,93.4,93.8,,87.5,87.9,80.6,,
Dunn, Justin,643290,91.2,91.1,,82.9,87.1,79.3,,
Young, Alex,622065,91.2,90.4,86.6,,85.2,81.6,,
Kikuchi, Yusei,579328,95,,92.1,83.3,86.8,,,
Lindblom, Josh,458676,90.1,,85.7,75.8,84.1,71.1,83.4,
Kuhl, Chad,641771,93.7,94,,87.7,88.2,81.3,,
Richards, Garrett,572070,95.1,95.3,,88.5,,80,,
Happ, J.A.,457918,91.6,89.3,,84.2,86.4,80.9,,
Plesac, Zach,668676,92.8,,,86.3,86,79.1,,
Tanaka, Masahiro,547888,92.3,91.5,,84,,75,87.1,
Castellani, Ryan,624418,92.5,89.5,,85,85.8,79.5,,
Anderson, Brett,474463,90.2,89.7,87.3,82.2,82.7,76.1,,
Dobnak, Randy,677976,92.9,91.4,,83.4,85.6,,,
Eovaldi, Nathan,543135,97.3,,91.3,89.2,,79.6,87.9,
Montgomery, Jordan,656756,92.6,92.5,89.9,,83.2,80.5,,
Brault, Steven,643230,92.2,91.2,,83,85,73.9,,
Means, John,607644,93.8,,,86.5,84.9,79,,
Arrieta, Jake,453562,91.9,92,,88.8,87.3,81.8,,
Holland, Derek,502706,92.1,92.3,,,84.3,80.7,,
Flaherty, Jack,656427,94,92.1,,84.4,85.7,77.3,,
Bumgarner, Madison,518516,88.4,88.2,83.5,,83.1,76.9,,
Gonsolin, Tony,664062,95.1,,,87.5,,81.7,85.1,
Clarke, Taylor,664199,94.3,,,86.3,88.9,79.9,,
Milone, Tommy,543548,86.1,86.1,,79.4,78.9,75.1,,
Margevicius, Nick,676606,90,,,84.2,82.2,70.3,,
Wojciechowski, Asher,592879,90.9,,85.7,79.7,84.5,77.9,,
Musgrove, Joe,605397,92.7,92,88.2,82.5,86.4,80.9,,
Alcantara, Sandy,645261,96.9,96.2,,87.3,90.1,82,,
Morton, Charlie,450203,93.4,93,85,,,78.2,85.9,
Allard, Kolby,663465,91.5,,86.7,,82.4,76.7,,
Gray, Jon,592351,94,94,,86.3,86.5,77.8,,
Anderson, Chase,502624,92.5,92.1,87.2,,82.5,77.2,,
Velasquez, Vince,592826,93.8,93,,86.5,88.3,82.8,,
Clevinger, Mike,605182,95.1,,88,81.7,87.2,78.7,,
Ponce de Leon, Daniel,594965,93.1,,88,,86.2,77.6,,
Weber, Ryan,543901,87.4,88.6,86.1,77.6,81.6,74.4,,
Wright, Kyle,657140,94.7,94,,88.2,87.7,82.1,,
López, Jorge,605347,94,93.5,,,86.1,81.1,,
Matz, Steven,571927,,94.5,,89.6,84.8,77.7,,
González, Gio,461829,90,89.3,,85.4,82.8,76.7,,
Kim, Kwang Hyun,547942,89.9,,,83.2,80.3,70.3,,
Lugo, Seth,607625,93.5,93.2,,87.7,87.4,78.4,,
Wacha, Michael,608379,93.6,93.2,88.8,,86.9,75.3,,
Lorenzen, Michael,547179,96.8,95.8,92.7,85,86.7,82.6,,
DeSclafani, Anthony,543101,94.9,94.8,,86.1,88.4,81.6,,
Hill, Rich,448179,87.8,85.9,83.2,71.3,83.4,72.7,,
Buehler, Walker,621111,96.8,97.2,92.7,87.5,,81.9,,
Alexander, Tyler,641302,90.5,90.7,85.9,82.6,84.5,,,
Sandoval, Patrick,663776,92.8,,,84.6,84.2,78.2,,
Bielak, Brandon,656232,93.2,89.3,88.9,83.4,86.4,79.7,,
Antone, Tejay,622088,,95.3,,83.4,88.1,80.1,,
Skubal, Tarik,669373,94.4,,95.4,86.1,83.2,76.6,,
Hudson, Dakota,641712,92.6,93,,88.3,86.6,82.1,,
Tomlin, Josh,458708,88.3,87.8,85.6,,84,76.4,,
Richards, Trevor,670950,90.5,,,,82.5,82.7,,
Teheran, Julio,527054,89.2,88.8,,81,82.3,72.9,,
Anderson, Ian,666120,94.1,93.8,,,87.4,80.1,,
Dunning, Dane,641540,91.8,91.9,,81.5,85.5,78.6,,
Rogers, Trevor,669432,93.6,93.8,,81,84.4,,,
Sánchez, Sixto,664350,98.5,96.6,89.1,85.8,89,,,
Godley, Zack,643327,89.9,89.4,88.6,,83.1,82,,
McKenzie, Triston,663474,92.8,,,86.3,86.8,80.1,,
Stratton, Chris,608717,93.2,,,86.7,86.4,80.1,,
Mize, Casey,663554,93.7,93.6,88.4,,,80.8,86,
Mazza, Chris,607391,92.4,91.8,88.5,82.2,84.8,,,
García, Deivi,665620,91.9,,,82.5,80.6,75.3,,
Eshelman, Thomas,664045,85.9,86.6,,77.9,79.4,76.4,,
Fulmer, Michael,605242,93.3,92.9,,87.6,86.7,77.8,,
Gomber, Austin,596295,92.5,,,85.9,83.3,76.3,,
Cisnero, José,542585,96.3,94.9,,86.7,90.7,,,
Suter, Brent,608718,85.4,87.1,,,81.1,73.2,,
Mayers, Mike,594577,94.2,,90.3,85.3,,77,,
Barría, Jaime,642545,92.1,92.2,,83.9,84.3,,,
Valdez, Phillips,570488,,92.2,,81.5,85,,,
Barlow, Scott,605130,94.9,95.6,,83.5,,78.1,,
Brewer, Colten,605155,94,94.7,93.8,89.1,85.6,80.8,,
Quantrill, Cal,615698,94.9,94.9,,86.1,85.5,,,
López, Reynaldo,625643,94.2,,,82.7,83.5,80.1,,
Yamaguchi, Shun,685493,90.8,,,81.6,,71.3,84.8,
Akin, Keegan,669211,91.9,,,80.7,81.3,77.2,,
Andriese, Matt,542882,91.9,90.7,85.7,,86,80,,
Hernández, Jonathan,642546,97.9,97.7,,89.1,90.9,,,
Peralta, Freddy,642547,93,,,80.2,,79.5,,
Toussaint, Touki,657053,94,92.6,,85.4,,75.7,85.3,
Fairbanks, Pete,664126,97.4,93.4,,87.2,,,,
Norris, Daniel,596057,92.6,,,85.4,87.6,76.2,,
Dayton, Grant,594795,90.6,90.4,,,82.9,75.9,,
Jackson, Luke,592426,94.4,,89.8,86.4,,83.3,,
Peralta, Wandy,593974,94.8,94.6,,87.5,87.6,,,
Matzek, Tyler,554431,94.3,,89.6,82.9,,79.1,,
Díaz, Edwin,621242,97.8,97.3,89.6,89.6,93.4,,,
Smyly, Drew,592767,93.6,93.8,89.3,,,80,,
Castro, Miguel,612434,,98.1,,86.8,92.3,,,
Castano, Daniel,641447,89.4,87.1,,79.4,81.2,,,
Kelly, Merrill,518876,92.1,91.8,90.8,,87.5,81.2,,
Staumont, Josh,622251,98,99,,,,82.1,,
Lakins Sr., Travis,664042,93.2,,90.8,,87.5,80.6,,
King, Michael,650633,93.7,93,,81.3,84.5,80.8,,
Fleming, Josh,676596,90.5,90.5,85.4,,81.5,77.8,,
Karinchak, James,675916,95.5,,,,,83.2,,
Sims, Lucas,608371,93.9,,,83.1,87.5,81.4,,
Erlin, Robbie,572362,89.3,90.3,,,82.9,75.9,,
Peña, Félix,570240,93.9,94.5,,84.8,86.6,,,
Rogers, Tyler,643511,82.4,82.8,,71.4,,,,
Cahill, Trevor,502239,90.8,90.9,85.1,,82.7,78.5,,
Barnes, Matt,598264,95.6,,,,,84.6,88.4,
Pineda, Michael,501381,92.1,,,82.4,85.6,,,
Familia, Jeurys,544727,97.2,96.4,,89.6,,85,91,
Hernandez, Elieser,622694,91.3,,,79.1,83.6,,,
Wisler, Matt,605538,91.9,,,81.3,,,,
Holland, Greg,518813,92.9,,,85.9,84.5,78.6,,
Plutko, Adam,592644,91,,86.7,81.1,84.4,76.9,,
Shoemaker, Matt,533167,92.1,91.9,,81.4,,75.4,85.4,
Almonte, Yency,622075,94.8,94.7,,84.4,87.9,,,
Jansen, Kenley,445276,,92.3,90.9,81.6,,,,
Oviedo, Johan,670912,94.8,,,84.9,87.4,77,,
Hatch, Thomas,641672,95.5,95,88,,85.7,,,
Howard, Spencer,675921,94,,84.5,82.2,79.6,73.3,,
Foster, Matt,641582,93.8,93.3,,85.3,83.8,,,
Estévez, Carlos,608032,96.9,,,86.9,88.7,,,
Williams, Devin,642207,96.5,97.8,86.5,,84.1,,,
Urquidy, José,664353,93.1,,,79.3,84.3,76.9,,
Buttrey, Ty,621142,96.1,,,82.2,86.2,,,
Wendelken, J.B.,605525,94.6,93.7,,85.3,86.6,81,,
Smith, Josh A.,595001,90.4,90.1,,86.6,82.7,77.6,,
Green, Chad,643338,95.5,95,,,,84.5,,
Brasier, Ryan,518489,96.2,95.2,,86.2,87.4,,,
Cordero, Jimmy,622772,97.1,96.6,92.4,87.5,88.5,81.4,,
Shreve, Chasen,592741,91.7,,,79.8,,,83.3,
Ramirez, Yohan,670990,95.6,,,81.9,,,,
Thompson, Ryan,657044,92.8,91.1,,76.5,79.5,,,
Finnegan, Kyle,640448,96.2,95,,87.2,,,86.8,
Sulser, Cole,642121,93.8,,,87.5,85.7,,,
Clippard, Tyler,461325,89.5,88.8,,,78,75.1,81.1,
Givens, Mychal,571710,94.7,89.7,,84.9,83,,,
Dolis, Rafael,503569,94.3,94.7,,84,,,86.6,
Hughes, Jared,453172,92.2,91.3,,,84.3,80.8,,
Zuber, Tyler,676604,94.1,,,83.9,86.1,80.6,,
May, Trevor,543507,96.3,96.4,,85.3,87.7,,,
Yardley, Eric,642233,,87.8,,,80.4,73,,
Hunter, Tommy,488984,92.7,92.6,90.4,,,82.3,,
Hartlieb, Geoff,664129,93,93.6,,82.7,87.7,,,
Kay, Anthony,641743,93.6,,86.9,,86.3,77.9,,
Scrubb, Andre,668687,,,92.9,85.5,,79.1,,
