Year,Last_Name, first_name,4_Seamer_T,Sinker_T,Cutter_T,Slider_T,Changeup_T,Curve_T,Splitter_T,Knuckle_T
2017,Verlander, Justin,86.49731530037326,86.22588021051853,89.50265090255776,93.4602511125348,94.10038981878505,102.52729039957177,,
2017,Sale, Chris,86.95352476925707,88.0683135483501,,103.29817228227533,94.96767451757569,,,
2017,Archer, Chris,86.31616909032012,,,92.72434362345973,95.96267925640943,,,
2017,Porcello, Rick,89.50265090255776,91.89737065914795,,96.29899705754171,102.65497071140187,110.35065794010134,,
2017,González, Gio,91.59104609028411,92.30900501820348,,,99.3155921460912,110.20313032253438,,
2017,Gausman, Kevin,86.86189829426313,91.18577597484037,,99.79653932355411,96.18662949971494,,96.97875468383025,
2017,Cole, Gerrit,85.95614335897362,86.22588021051853,,93.56633539302578,93.14343670198386,102.52729039957177,,
2017,Samardzija, Jeff,87.41457209040902,87.41457209040902,89.99120249045383,93.88603813354864,,102.14614805607894,95.07721047434336,
2017,Estrada, Marco,91.79503505707763,,95.29704217486209,,106.36379545968478,106.36379545968478,,
2017,Santana, Ervin,88.44628914297822,89.30871233072124,,97.55259346894167,96.0745238709274,,,
2017,Roark, Tanner,89.11561241216833,89.4055764438782,,95.96267925640943,98.48499579600443,108.74926316788351,,
2017,Quintana, José,89.4055764438782,89.50265090255776,,,95.73976943235274,106.91561800422271,,
2017,deGrom, Jacob,86.58817382484841,87.04534475317392,,92.30900501820348,93.99309176882063,101.14348648006835,,
2017,Bauer, Trevor,87.60036289187642,88.0683135483501,95.29704217486209,97.32224496016022,94.96767451757569,104.87524361482916,,
2017,Lynn, Lance,89.21205788014686,90.18811978255548,94.64057575345088,,95.85109474564617,104.47647842998188,,
2017,Greinke, Zack,90.78407652120673,90.884169218584,,98.13326366816155,94.64057575345088,110.94473954408575,,
2017,Stroman, Marcus,87.97432388607866,88.35149140541876,91.99993468890148,95.51789279403907,99.67586636185695,100.77254459811212,,
