Year,catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2016,Jeff Mathis,,146,33,79.2,0.75,17,2.08,2.07,2.08,2,1.61,,1.61
2016,Ryan Hanigan,,111,35,79.7,0.74,13,2.08,2.08,2.08,3,1.64,1.62,1.65
2016,Geovany Soto,,108,33,76.3,0.7,18,2.08,2.09,2.08,3,1.61,,1.61
2016,Josh Thole,,141,29,78.1,0.79,10,2.16,2.09,2.19,1,1.63,,1.63
2016,Carlos Ruiz,,119,37,80.3,0.79,19,2.09,2.09,2.09,3,1.63,1.63,1.63
2016,Steve Clevenger,,136,30,80.7,0.81,10,2.08,2.09,2.08,0,,,
2016,Kurt Suzuki,,142,32,81.4,0.84,27,2.11,2.1,2.11,5,1.63,1.61,1.65
2016,A.J. Pierzynski,,144,39,77.9,0.77,29,2.09,2.1,2.09,4,1.64,1.65,1.6
2016,A.J. Ellis,,143,35,77.3,0.73,22,2.09,2.11,2.09,0,,,
2016,Jarrod Saltalamacchia,,116,31,81.8,0.78,12,2.08,2.11,2.05,1,1.56,,1.56
2016,Kevin Plawecki,,121,25,78.2,0.75,21,2.09,2.11,2.08,1,1.67,,1.67
2016,Ramón Cabrera,,113,26,79.5,0.79,15,2.07,2.11,2.07,3,1.64,1.58,1.67
2016,Stephen Vogt,,133,31,76.3,0.71,29,2.1,2.11,2.09,2,1.66,,1.66
2016,Robinson Chirinos,,140,32,80.8,0.81,14,2.08,2.11,2.06,1,1.71,,1.71
2016,Austin Romine,,147,27,82.7,0.83,6,2.08,2.13,2.02,1,1.81,,1.81
2016,Tyler Flowers,,144,30,76.7,0.74,34,2.13,2.16,2.12,3,1.66,,1.66
2016,Bruce Maxwell,,133,25,79,0.68,6,2.1,,2.1,0,,,
