year,catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2017,Chris Stewart,,134.00,35.00,79.80,0.64,17.00,1.93,1.89,1.97,3.00,1.54,,1.54
2017,Luis Torrens,,135.00,21.00,81.30,0.72,7.00,1.98,1.90,1.99,0.00,,,
2017,Salvador Perez,,118.00,27.00,82.70,0.65,39.00,1.95,1.91,1.97,3.00,1.71,1.93,1.61
2017,Willson Contreras,,112.00,25.00,86.70,0.73,34.00,1.96,1.92,1.98,7.00,1.59,1.62,1.56
2017,Austin Hedges,,135.00,24.00,85.80,0.70,26.00,1.89,1.92,1.88,4.00,1.48,1.46,1.50
2017,Yan Gomes,,114.00,29.00,81.30,0.65,28.00,1.95,1.92,1.98,1.00,1.51,1.51,
2017,J.T. Realmuto,,146.00,26.00,87.00,0.68,35.00,1.90,1.92,1.88,4.00,1.49,1.48,1.51
2017,Gary Sanchez,,147.00,24.00,87.80,0.74,36.00,1.93,1.93,1.92,1.00,1.50,,1.50
2017,Elias Díaz,,134.00,26.00,85.00,0.75,10.00,1.93,1.94,1.92,2.00,1.46,1.45,1.47
2017,Carlos Pérez,,108.00,26.00,79.80,0.65,8.00,1.96,1.94,1.98,0.00,,,
2017,Martín Maldonado,,108.00,30.00,87.90,0.75,39.00,1.93,1.94,1.93,3.00,1.61,1.70,1.56
2017,Welington Castillo,,110.00,30.00,82.60,0.66,17.00,1.94,1.94,1.94,2.00,1.76,1.69,1.83
2017,Chris Herrmann,,109.00,29.00,80.80,0.75,12.00,1.98,1.94,2.01,0.00,,,
2017,Jorge Alfaro,,143.00,24.00,89.80,0.77,9.00,1.95,1.95,1.95,0.00,,,
2017,Manny Piña,,158.00,30.00,85.00,0.68,42.00,1.93,1.96,1.92,1.00,1.46,1.46,
2017,Christian Vázquez,,111.00,26.00,83.20,0.66,20.00,1.96,1.96,1.97,1.00,1.56,1.56,
2017,Sandy Leon,,111.00,28.00,81.20,0.67,22.00,1.97,1.96,1.98,2.00,1.54,1.54,
2017,Roberto Perez,,114.00,28.00,84.50,0.73,16.00,1.95,1.96,1.95,2.00,1.56,1.61,1.50
2017,Derek Norris,,139.00,28.00,79.50,0.71,14.00,2.01,1.98,2.03,2.00,1.60,,1.60
2017,Héctor Sánchez,,135.00,27.00,82.50,0.68,6.00,2.00,1.98,2.00,1.00,1.62,,1.62
2017,René Rivera,,112.00,33.00,81.40,0.67,24.00,1.99,1.99,1.99,3.00,1.53,1.56,1.52
2017,Buster Posey,,137.00,30.00,82.50,0.75,31.00,2.02,2.00,2.03,4.00,1.60,1.59,1.60
2017,Jett Bandy,,158.00,27.00,82.80,0.73,17.00,1.98,2.00,1.97,4.00,1.71,1.91,1.51
2017,Nick Hundley,,137.00,33.00,81.30,0.73,26.00,2.03,2.00,2.04,2.00,1.58,1.58,
2017,Tucker Barnhart,,113.00,26.00,80.30,0.69,35.00,2.00,2.00,2.00,5.00,1.67,1.62,1.71
2017,Austin Barnes,,119.00,27.00,80.70,0.72,9.00,2.01,2.00,2.01,1.00,1.54,1.54,
2017,Francisco Cervelli,,134.00,31.00,80.70,0.76,22.00,2.01,2.00,2.01,0.00,,,
2017,Yadier Molina,,138.00,34.00,83.30,0.73,28.00,1.97,2.00,1.93,5.00,1.57,1.59,1.53
2017,Austin Romine,,147.00,28.00,83.40,0.79,11.00,2.05,2.01,2.06,2.00,1.69,1.71,1.68
2017,Tony Wolters,,115.00,25.00,78.20,0.65,19.00,1.99,2.01,1.95,6.00,1.56,1.57,1.55
2017,Josh Phegley,,133.00,29.00,80.40,0.68,18.00,1.97,2.01,1.94,3.00,1.88,,1.88
2017,Drew Butera,,118.00,33.00,86.10,0.73,16.00,1.95,2.01,1.94,3.00,1.51,1.55,1.49
2017,Caleb Joseph,,110.00,31.00,80.40,0.73,32.00,2.03,2.02,2.03,5.00,1.60,1.62,1.60
2017,Geovany Soto,,145.00,34.00,78.50,0.70,6.00,2.04,2.02,2.05,0.00,,,
2017,Ryan Hanigan,,115.00,36.00,78.90,0.75,8.00,2.02,2.02,2.02,2.00,1.60,,1.60
2017,Jonathan Lucroy,,115.00,31.00,80.10,0.75,35.00,2.05,2.02,2.06,4.00,1.60,1.68,1.58
2017,Luke Maile,,141.00,26.00,83.80,0.75,16.00,2.00,2.02,1.98,1.00,1.84,,1.84
2017,James McCann,,116.00,27.00,82.80,0.76,43.00,2.02,2.02,2.02,0.00,,,
2017,Raffy Lopez,,141.00,29.00,83.70,0.79,6.00,2.06,2.03,2.06,0.00,,,
2017,Kevan Smith,,145.00,29.00,80.80,0.75,21.00,2.05,2.03,2.05,5.00,1.65,1.61,1.66
2017,Jose Lobaton,,120.00,32.00,81.70,0.76,16.00,2.01,2.03,2.01,0.00,,,
2017,Evan Gattis,,117.00,30.00,83.70,0.80,21.00,2.04,2.03,2.04,4.00,1.67,,1.67
2017,Omar Narváez,,145.00,25.00,81.20,0.75,41.00,2.04,2.03,2.04,3.00,1.58,1.58,1.59
2017,Wilson Ramos,,139.00,29.00,81.30,0.76,15.00,2.04,2.03,2.05,0.00,,,
2017,Andrew Knapp,,143.00,25.00,82.50,0.77,17.00,2.02,2.04,2.01,3.00,1.59,1.65,1.57
2017,Mike Zunino,,136.00,26.00,80.60,0.71,36.00,2.02,2.04,2.01,3.00,1.73,1.63,1.78
2017,Yasmani Grandal,,119.00,28.00,81.50,0.74,29.00,2.03,2.04,2.02,1.00,1.59,,1.59
2017,Matt Wieters,,120.00,31.00,81.00,0.75,32.00,2.02,2.04,2.00,3.00,1.58,1.56,1.63
2017,Robinson Chirinos,,140.00,33.00,80.90,0.78,23.00,2.04,2.05,2.03,3.00,2.09,2.07,2.12
2017,Juan Centeno,,117.00,27.00,81.20,0.63,6.00,1.99,2.05,1.98,0.00,,,
2017,Chris Iannetta,,109.00,34.00,82.00,0.79,14.00,2.05,2.05,2.05,1.00,1.58,1.58,
