year,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,first_name,last_name,time_second_base,time_third_base
2022,83.9,0.79,Matt,Thaiss,206.2564767580453,146.16449678188317
2022,87.6,0.67,J.T.,Realmuto,197.54473059360734,139.9908821917808
2022,84.8,0.72,Elias,Díaz,204.06743396226415,144.61322264150945
2022,83.6,0.71,Will,Smith,206.9966315789474,146.6890105263158
2022,86.3,0.73,Chuckie,Robinson,200.52049130938587,142.099667207416
2022,84.7,0.78,Aramis,Garcia,204.30836363636365,144.7839584415584
2022,83.2,0.72,Meibrys,Viloria,207.99180769230767,147.39424615384613
2022,80.7,0.68,Nick,Fortes,214.43517224287484,151.9603628252788
2022,83.5,0.72,Garrett,Stubbs,207.24453173652694,146.86468598802395
2022,86.1,0.72,Sean,Murphy,200.98627642276426,142.42974773519165
2022,81.8,0.69,Gabriel,Moreno,211.5515696821516,149.91688606356968
2022,88.3,0.77,Christian,Bethancourt,195.97869082672705,138.88110169875424
2022,80.4,0.67,Christian,Vázquez,215.23530348258706,152.52737910447757
2022,85.7,0.76,Connor,Wong,201.92436872812135,143.09453068844806
2022,86.9,0.76,Shea,Langeliers,199.13599999999997,141.11854177215187
2022,86.3,0.75,Gary,Sanchez,200.52049130938587,142.099667207416
2022,86.9,0.83,Francisco,Mejía,199.13599999999997,141.11854177215187
2022,84.0,0.72,Tyler,Stephenson,206.0109333333333,145.99049142857143
2022,86.0,0.72,Willson,Contreras,201.21998139534887,142.5953637209302
2022,86.0,0.75,Martín,Maldonado,201.21998139534887,142.5953637209302
2022,81.6,0.77,Brian,Serven,212.07007843137256,150.2843294117647
2022,80.1,0.69,Kyle,Higashioka,216.0414282147316,153.0986426966292
2022,83.0,0.76,MJ,Melendez,208.49299277108435,147.7494130120482
2022,82.5,0.76,Anthony,Bemboom,209.7565866666667,148.64486399999998
2022,77.8,0.68,Jose,Trevino,222.42825706940874,157.62469511568122
2022,83.2,0.75,Eric,Haase,207.99180769230767,147.39424615384613
2022,82.1,0.7,Austin,Hedges,210.7785432399513,149.36907771010962
2022,81.4,0.75,Austin,Nola,212.59113513513512,150.65357837837837
2022,88.2,0.74,Jorge,Alfaro,196.2008888888889,139.0385632653061
2022,86.3,0.76,Adley,Rutschman,200.52049130938587,142.099667207416
2022,83.9,0.73,Jose,Herrera,206.2564767580453,146.16449678188317
2022,82.2,0.73,Danny,Jansen,210.5221216545012,149.18736350364964
2022,83.4,0.75,Luke,Maile,207.49302637889684,147.04078273381293
2022,85.6,0.78,Riley,Adams,202.16026168224303,143.2616971962617
2022,78.6,0.7,Jason,Delay,220.1643562340967,156.02037251908396
2022,81.5,0.71,Andrew,Knapp,212.33028711656442,150.46872736196318
2022,77.1,0.63,Tyler,Heineman,224.44770946822305,159.05578832684824
2022,78.9,0.68,Daulton,Varsho,219.32722940430924,155.42713916349805
2022,80.2,0.67,Reese,McGuire,215.77204987531172,152.90774663341645
2022,82.2,0.78,Travis,d'Arnaud,210.5221216545012,149.18736350364964
2022,81.5,0.75,Carson,Kelly,212.33028711656442,150.46872736196318
2022,82.2,0.74,Seby,Zavala,210.5221216545012,149.18736350364964
2022,78.1,0.67,Sandy,Leon,221.57385915492958,157.01922253521127
2022,77.4,0.63,Tomás,Nido,223.57775710594316,158.4392930232558
2022,79.4,0.68,Yan,Gomes,217.9460755667506,154.4483788413098
2022,82.4,0.76,Ryan,Jeffers,210.01114563106793,148.82525825242718
2022,83.8,0.78,Cal,Raleigh,206.5026062052506,146.33891742243438
2022,79.0,0.73,Keibert,Ruiz,219.04959999999997,155.23039594936708
2022,82.4,0.77,Joey,Bart,210.01114563106793,148.82525825242718
2022,79.3,0.68,Tucker,Barnhart,218.2209129886507,154.64314350567466
2022,82.9,0.71,Salvador,Perez,208.74449215922797,147.92763908323278
2022,80.3,0.73,Alejandro,Kirk,215.50334246575343,152.71732602739726
2022,78.3,0.72,Curt,Casali,221.00789782886335,156.61815172413793
2022,83.7,0.79,Jonah,Heim,206.7493237753883,146.51375483870964
2022,82.3,0.76,Jacob,Stallings,210.26632320777645,149.00609088699878
2022,79.8,0.75,Victor,Caratini,216.8536140350877,153.6742015037594
2022,80.7,0.73,Jason,Castro,214.43517224287484,151.9603628252788
2022,78.9,0.72,P.J.,Higgins,219.32722940430924,155.42713916349805
2022,79.0,0.72,Omar,Narváez,219.04959999999997,155.23039594936708
2022,82.3,0.75,Luis,Torrens,210.26632320777645,149.00609088699878
2022,76.4,0.8,Dom,Nuñez,226.504167539267,160.5131057591623
2022,79.9,0.77,Yadier,Molina,216.5822077596996,153.48186833541928
2022,80.3,0.73,Max,Stassi,215.50334246575343,152.71732602739726
2022,80.6,0.79,Andrew,Knizner,214.70122084367247,152.1488992555831
2022,83.5,0.8,Michael,Perez,207.24453173652694,146.86468598802395
2022,78.9,0.75,Cam,Gallagher,219.32722940430924,155.42713916349805
2022,78.1,0.78,Michael,Papierski,221.57385915492958,157.01922253521127
2022,78.9,0.77,Robinson,Chirinos,219.32722940430924,155.42713916349805
2022,75.6,0.68,Austin,Barnes,228.90103703703704,162.21165714285715
2022,81.4,0.8,Austin,Romine,212.59113513513512,150.65357837837837
2022,80.7,0.73,James,McCann,214.43517224287484,151.9603628252788
2022,78.4,0.73,Zack,Collins,220.72599999999997,156.41838367346938
2022,76.5,0.76,Yasmani,Grandal,226.20808366013074,160.30328470588233
2022,75.0,0.7,Mike,Zunino,230.73224533333334,163.5093504
2022,80.2,0.81,Kurt,Suzuki,215.77204987531172,152.90774663341645
2022,76.4,0.71,Patrick,Mazeika,226.504167539267,160.5131057591623
2022,81.9,0.72,William,Contreras,211.29326495726494,149.73383736263736
2022,75.9,0.75,Kevin,Plawecki,227.99628985507246,161.57050434782604
2022,72.3,0.68,Stephen,Vogt,239.34880221300136,169.61550871369295
2022,78.7,0.76,Austin,Wynns,219.8846048284625,155.82212554002538
2022,76.7,0.75,Tres,Barrera,225.61823207301174,159.88528396349412
2022,81.0,0.81,Mitch,Garver,213.64096790123457,151.39754666666667
2022,88.1,0.83,Sam,Huff,196.42359137343928,139.19638229284902
2022,83.4,0.72,René,Pinto,207.49302637889684,147.04078273381293
2021,87.8,0.71,J.T.,Realmuto,197.09474259681096,139.67199635535306
2021,81.1,0.68,Webster,Rivas,213.37753884093712,151.21086658446364
2021,83.7,0.68,Kyle,Higashioka,206.7493237753883,146.51375483870964
2021,81.8,0.71,Danny,Jansen,211.5515696821516,149.91688606356968
2021,83.2,0.69,Yadier,Molina,207.99180769230767,147.39424615384613
2021,84.3,0.74,Willson,Contreras,205.27779833926454,145.47095231316726
