last_name, first_name,player_id,name_abbrev,team_id,position_name,age,bat_side,seconds_since_hit_000,seconds_since_hit_005,seconds_since_hit_010,seconds_since_hit_015,seconds_since_hit_020,seconds_since_hit_025,seconds_since_hit_030,seconds_since_hit_035,seconds_since_hit_040,seconds_since_hit_045,seconds_since_hit_050,seconds_since_hit_055,seconds_since_hit_060,seconds_since_hit_065,seconds_since_hit_070,seconds_since_hit_075,seconds_since_hit_080,seconds_since_hit_085,seconds_since_hit_090
Abreu, José,547989,CWS,145,1B,33,R,0.00,0.58,0.92,1.20,1.45,1.68,1.90,2.11,2.31,2.51,2.70,2.89,3.07,3.26,3.45,3.63,3.81,4.00,4.21
Acuña Jr., Ronald,660670,ATL,144,CF,22,R,0.00,0.56,0.87,1.12,1.35,1.56,1.76,1.95,2.13,2.31,2.48,2.65,2.83,3.00,3.16,3.33,3.50,3.68,3.86
Adames, Willy,642715,TB,139,SS,24,R,0.00,0.56,0.88,1.15,1.39,1.61,1.82,2.01,2.21,2.39,2.57,2.75,2.93,3.10,3.28,3.45,3.62,3.79,3.96
Adell, Jo,666176,LAA,108,RF,21,R,0.00,0.55,0.85,1.10,1.33,1.55,1.75,1.94,2.13,2.31,2.49,2.66,2.83,3.00,3.17,3.33,3.50,3.66,3.82
Aguilar, Jesús,542583,MIA,146,1B,30,R,0.00,0.58,0.94,1.23,1.50,1.75,1.98,2.21,2.42,2.63,2.83,3.03,3.24,3.44,3.63,3.82,4.02,4.22,4.43
Ahmed, Nick,605113,AZ,109,SS,30,R,0.00,0.57,0.90,1.17,1.41,1.63,1.85,2.05,2.25,2.44,2.62,2.81,2.98,3.16,3.33,3.51,3.68,3.86,4.04
Akiyama, Shogo,673451,CIN,113,LF,32,L,0.00,0.56,0.88,1.15,1.39,1.61,1.82,2.02,2.22,2.41,2.60,2.78,2.96,3.14,3.32,3.49,3.67,3.85,4.05
Alberto, Hanser,593643,BAL,110,2B,27,R,0.00,0.58,0.92,1.19,1.43,1.66,1.87,2.08,2.28,2.47,2.67,2.85,3.03,3.22,3.40,3.57,3.75,3.93,4.12
Albies, Ozzie,645277,ATL,144,2B,23,L,0.00,0.54,0.85,1.11,1.34,1.55,1.75,1.94,2.12,2.30,2.48,2.65,2.82,2.99,3.16,3.33,3.50,3.68,3.86
Albies, Ozzie,645277,ATL,144,2B,23,R,0.00,0.58,0.89,1.15,1.37,1.59,1.78,1.97,2.16,2.33,2.51,2.68,2.85,3.02,3.19,3.35,3.52,3.68,3.88
Alfaro, Jorge,595751,MIA,146,C,27,R,0.00,0.57,0.89,1.15,1.40,1.62,1.84,2.04,2.23,2.41,2.60,2.78,2.96,3.14,3.31,3.48,3.66,3.83,4.03
Alonso, Pete,624413,NYM,121,1B,25,R,0.00,0.57,0.91,1.18,1.44,1.67,1.89,2.10,2.31,2.51,2.71,2.90,3.09,3.28,3.47,3.65,3.84,4.03,4.23
