last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Senzatela, Antonio,622608,93.7,,,84.4,87,78.8,,
Wacha, Michael,608379,93,93.2,89.4,,85.5,75.3,,
Arrieta, Jake,453562,91.9,92.5,,89.7,87.5,80.6,,
Pineda, Michael,501381,92.5,91.9,,83.9,87.1,,,
Duffy, Danny,518633,92.3,92.1,,84,83.8,76.1,,
Mahle, Tyler,641816,93.3,,90,,,80.4,87,
Smyly, Drew,592767,,91.2,86.7,,82.4,77.4,,
Velasquez, Vince,592826,94.2,92,,86.4,,83.1,,
Archer, Chris,502042,94.1,93.9,,88.7,87.7,82.3,,
Clevinger, Mike,605182,95.4,,,80.7,87.1,77.6,,
Yarbrough, Ryan,642232,86.1,88.1,84.1,,79.5,72.8,,
Sampson, Adrian,592716,,92.5,,83.9,87.4,79.3,,
López, Jorge,605347,94.3,93.8,,88.4,87.5,81.7,,
Jurado, Ariel,642558,93.1,92,,85.3,85.3,80.3,,
Beede, Tyler,595881,94.2,95.6,,86.3,83.9,80.3,,
Brault, Steven,643230,92.1,91.3,83.5,81.2,84.3,71.1,,
Chirinos, Yonny,630023,94.3,93.9,,87.5,,,85.9,
Woodruff, Brandon,605540,96.3,96,,88.4,87,81.2,,
LeBlanc, Wade,453281,86.3,86.1,84.1,,78.6,72.5,,
Chacín, Jhoulys,468504,90,89.9,,79.8,82.8,77,,
Pomeranz, Drew,519141,92.8,91.3,88,,85.6,81.2,,
Brooks, Aaron,605156,92,91.8,,85.6,84.7,78.6,,
Plesac, Zach,668676,93.9,,,84.9,85.8,79.4,,
Snell, Blake,605483,95.5,,,87.3,86.3,81,,
Foltynewicz, Mike,592314,94.8,95,,85.4,86.7,79.4,,
Zimmermann, Jordan,519455,90.5,90.3,,85.8,87.1,80.2,,
Keuchel, Dallas,572971,89.4,88.3,86.1,78.4,79.7,,,
Price, David,456034,91.9,91.9,88.5,,84.1,80.4,,
Beeks, Jalen,656222,92,92.7,85.9,,87.2,75.1,,
Ynoa, Gabriel,593679,93.4,93.6,,84,85.9,79.9,,
