year,catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2019,Tom Murphy,,136,28,84.9,0.78,17,2.04,2.06,2.02,1,1.79,,1.79
2019,Max Stassi,,108,28,81.1,0.73,10,2.03,2.07,2.02,1,1.61,1.61,
2019,Brian McCann,,144,35,77.2,0.78,20,2.08,2.08,2.08,3,1.63,1.66,1.62
2019,Yasmani Grandal,,158,30,78.5,0.72,45,2.07,2.09,2.06,2,1.66,1.66,1.67
2019,Tyler Flowers,,144,33,75.9,0.74,23,2.12,2.09,2.13,1,1.58,,1.58
2019,Chance Sisco,,110,24,79.1,0.78,20,2.1,2.09,2.1,0,,,
2019,Kevin Plawecki,,114,28,77.1,0.72,11,2.1,2.1,2.1,3,1.57,1.58,1.56
2019,Omar Narváez,,136,27,79.2,0.74,32,2.07,2.1,2.06,3,1.62,1.62,1.64
2019,Jeff Mathis,,140,36,76.5,0.77,24,2.12,2.12,2.12,3,1.78,,1.78
2019,Austin Barnes,,119,29,76.8,0.67,10,2.09,2.13,2.09,2,1.6,,1.6
2019,Stephen Vogt,,137,34,73.4,0.7,14,2.14,2.13,2.14,2,1.72,1.65,1.78
2019,Austin Romine,,147,30,82.2,0.83,13,2.06,2.14,2.03,3,1.68,1.56,1.74
2019,Caleb Joseph,,109,33,79.3,0.78,5,2.08,2.17,1.95,0,,,
