year,catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
2018,J.T. Realmuto,,146,27,87.8,0.69,23,1.9,1.88,1.9,2,1.47,1.46,1.48
2018,Jorge Alfaro,,143,25,90.9,0.73,45,1.92,1.9,1.94,1,1.49,,1.49
2018,Kyle Higashioka,,147,28,80.5,0.69,6,1.95,1.9,1.96,1,1.55,1.55,
2018,Willians Astudillo,,142,26,79.7,0.72,6,1.99,1.91,2,0,,,
2018,Meibrys Viloria,,118,21,84.5,0.72,6,1.92,1.91,1.92,1,1.52,,1.52
2018,Tomás Nido,,121,24,82.2,0.7,11,1.94,1.92,1.94,1,1.53,,1.53
2018,Austin Hedges,,135,25,83.1,0.69,24,1.94,1.92,1.95,5,1.52,1.51,1.53
2018,Michael Perez,,139,25,85.2,0.77,6,1.94,1.92,1.96,0,,,
2018,Manny Piña,,158,31,83.9,0.67,26,1.95,1.93,1.98,0,,,
2018,Blake Swihart,,111,26,85.7,0.76,11,1.97,1.93,2.01,0,,,
2018,Gary Sanchez,,147,25,86.9,0.75,18,1.94,1.93,1.96,4,1.48,1.49,1.48
2018,Reese McGuire,,141,23,79.3,0.64,10,1.95,1.94,1.95,0,,,
2018,Grayson Greiner,,116,25,85.4,0.78,8,1.99,1.94,2,1,1.62,,1.62
2018,Carlos Pérez,,140,27,79.6,0.64,9,1.99,1.94,2.05,1,1.52,1.52,
2018,Wilson Ramos,,143,30,82.3,0.71,15,1.99,1.94,2.01,7,1.6,1.56,1.61
2018,Sandy Leon,,111,29,82.2,0.67,20,1.97,1.95,1.98,0,,,
2018,Welington Castillo,,145,31,80.1,0.62,13,1.96,1.95,1.97,1,1.54,1.54,
2018,Chris Herrmann,,136,30,81.4,0.73,7,2.04,1.95,2.08,1,1.51,,1.51
2018,Yan Gomes,,114,30,81.3,0.66,36,1.93,1.96,1.92,4,1.75,1.57,1.8
2018,Willson Contreras,,112,26,86.3,0.75,29,1.96,1.96,1.96,3,1.55,1.54,1.55
2018,Roberto Perez,,114,29,83.4,0.7,18,1.96,1.96,1.97,1,1.49,1.49,
2018,Alex Avila,,109,31,81.5,0.73,15,1.98,1.97,1.99,1,1.63,1.63,
2018,René Rivera,,144,34,81.6,0.72,10,2,1.97,2.02,0,,,
2018,Salvador Perez,,118,28,82.2,0.69,38,1.98,1.98,1.96,1,1.53,,1.53
2018,Andrew Knapp,,143,26,82.7,0.75,24,2.03,1.98,2.04,1,1.57,,1.57
2018,Martín Maldonado,,117,31,87.6,0.77,20,1.97,1.98,1.97,4,1.61,1.58,1.62
2018,Elias Díaz,,134,27,84.7,0.72,18,1.98,1.98,1.98,2,1.45,1.44,1.46
2018,Raffy Lopez,,135,30,81.5,0.74,8,2.02,1.98,2.05,0,,,
2018,Drew Butera,,115,34,85.7,0.75,18,1.98,1.98,1.97,3,1.54,,1.54
2018,Spencer Kieboom,,120,27,80.2,0.69,15,1.99,1.98,1.99,1,1.6,,1.6
2018,Jonathan Lucroy,,133,32,80.8,0.69,43,2,1.99,2.01,3,1.59,1.59,
2018,Matt Wieters,,120,32,79.8,0.72,22,2.01,1.99,2.02,4,1.56,1.55,1.58
2018,Bryan Holaday,,146,30,81.9,0.73,22,2,1.99,2.02,1,1.49,,1.49
2018,Pedro Severino,,120,24,84.3,0.71,21,1.98,1.99,1.98,0,,,
2018,Mike Zunino,,136,27,81.2,0.72,25,2.02,2,2.04,2,1.69,1.64,1.74
2018,Jose Lobaton,,121,33,81,0.77,5,2.06,2.01,2.07,1,1.67,1.67,
2018,Josh Phegley,,133,30,80,0.7,8,2.02,2.01,2.02,1,1.6,1.6,
2018,Nick Hundley,,137,34,80.3,0.74,30,2.04,2.01,2.05,2,1.6,1.6,
2018,Tony Wolters,,115,26,78.5,0.65,19,1.99,2.01,1.97,2,1.49,1.56,1.43
2018,Buster Posey,,137,31,82.6,0.73,30,2.01,2.01,2.01,4,1.56,,1.56
2018,John Hicks,,116,28,84.4,0.69,10,1.97,2.01,1.96,0,,,
2018,Tom Murphy,,115,27,85.4,0.77,7,2.02,2.02,2.02,0,,,
2018,Kevan Smith,,145,30,83.1,0.72,21,2.01,2.02,2,0,,,
2018,Erik Kratz,,158,38,84.1,0.76,21,2.02,2.02,2.02,2,1.69,1.87,1.52
2018,Luke Maile,,141,27,83,0.71,34,1.99,2.02,1.97,3,1.66,1.76,1.61
2018,Austin Wynns,,110,27,79.5,0.7,10,2.01,2.02,1.99,1,1.49,,1.49
2018,José Briceño,,108,25,81.2,0.69,12,2,2.02,1.99,0,,,
2018,Adam Moore,,139,34,84.2,0.81,7,2.02,2.02,2.02,1,1.67,,1.67
2018,Isiah Kiner-Falefa,,140,23,77.6,0.67,13,2.04,2.03,2.05,0,,,
2018,Jesús Sucre,,139,30,84.6,0.78,17,2.01,2.03,1.98,1,1.6,,1.6
2018,Francisco Cervelli,,134,32,79.9,0.73,29,2.01,2.03,1.99,5,1.59,1.64,1.52
2018,A.J. Ellis,,135,37,78,0.69,18,2.06,2.04,2.06,2,1.57,1.57,
2018,Yasmani Grandal,,119,29,80.7,0.74,33,2.04,2.04,2.04,4,1.62,,1.62
2018,James McCann,,116,28,83.2,0.74,39,2.02,2.04,1.99,3,1.65,1.64,1.66
2018,Caleb Joseph,,110,32,79.8,0.73,39,2.04,2.05,2.02,3,1.53,1.61,1.49
2018,John Ryan Murphy,,109,27,84.2,0.74,14,1.99,2.05,1.97,0,,,
2018,Tucker Barnhart,,113,27,79.3,0.7,37,2.03,2.05,2.03,4,1.73,1.81,1.5
2018,Yadier Molina,,138,35,82.2,0.76,14,2.05,2.05,2.04,0,,,
2018,Curt Casali,,113,29,79.5,0.77,9,2.1,2.05,2.14,3,1.55,1.61,1.52
2018,Omar Narváez,,145,26,80.8,0.72,38,2.03,2.05,2.02,5,1.6,1.63,1.55
2018,Bruce Maxwell,,133,27,80.5,0.73,12,2.09,2.05,2.11,2,1.61,1.61,
2018,Mitch Garver,,142,27,81.5,0.78,20,2.08,2.06,2.09,0,,,
2018,Jett Bandy,,158,28,80.4,0.73,5,2.04,2.06,2,0,,,
2018,Austin Romine,,147,29,84.7,0.8,35,2.04,2.06,2.03,1,1.58,1.58,
2018,Devin Mesoraco,,121,30,82.4,0.75,28,2.03,2.06,2.01,3,1.62,,1.62
2018,Chris Iannetta,,115,35,81.4,0.79,20,2.04,2.06,2.04,2,1.6,,1.6
2018,Jason Castro,,142,31,80.3,0.7,11,2.05,2.07,2.02,0,,,
2018,Robinson Chirinos,,140,34,81.1,0.76,21,2.04,2.08,2.03,3,1.64,,1.64
2018,Bobby Wilson,,142,35,77.8,0.71,16,2.09,2.08,2.09,1,1.78,1.78,
2018,Francisco Arcia,,108,28,79.8,0.76,11,2.05,2.08,2.03,1,1.59,,1.59
2018,Brian McCann,,117,34,77.2,0.77,16,2.08,2.08,2.08,1,1.65,,1.65
2018,Kevin Plawecki,,121,27,78.5,0.74,40,2.07,2.08,2.07,3,1.63,,1.63
2018,Tyler Flowers,,144,32,74.8,0.75,25,2.14,2.08,2.15,3,1.72,1.7,1.73
2018,Russell Martin,,141,35,83.1,0.74,39,2.01,2.08,1.99,4,1.59,1.61,1.57
2018,Christian Vázquez,,111,27,80.5,0.72,14,2.06,2.08,2.02,0,,,
2018,Chance Sisco,,110,23,78.4,0.8,15,2.09,2.09,2.08,5,1.7,1.69,1.7
2018,Max Stassi,,117,27,79.5,0.77,26,2.09,2.1,2.08,0,,,
2018,Kurt Suzuki,,144,34,80.3,0.81,24,2.08,2.1,2.07,4,1.65,1.68,1.63
2018,Jeff Mathis,,109,35,78.6,0.74,16,2.07,2.12,2.05,1,1.6,1.6,
2018,Austin Barnes,,119,28,76,0.72,9,2.11,2.12,2.1,0,,,
2018,Chris Gimenez,,142,35,79.4,0.78,5,2.12,2.14,2.1,3,1.61,1.63,1.59
2018,Victor Caratini,,112,24,80.7,0.81,14,2.08,2.15,2.07,3,1.69,1.65,1.7
2018,Danny Jansen,,141,23,81.9,0.82,11,2.08,2.16,2.03,2,1.62,,1.62
2018,Francisco Peña,,138,28,81.3,0.77,7,2.03,,2.03,1,1.65,1.65,
2018,David Freitas,,136,29,79.4,0.78,6,2.12,,2.12,1,1.76,1.76,
